,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-404ab15a-5fdc-47da-96ca-6bf36dbfc057,"{<resource_manager.instance.CloudReservedInstance object at 0x11426c3b0>: [(2, 22416.432, None)], <resource_manager.instance.CloudReservedInstance object at 0x11406be00>: [(1, 22416.432, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x11406bb60>: [(1, 22416.432, 43749.648)]}",285.63536765098837,142329.28279565406,22416.432,14424.022314107502,22416.432,43761.45391038984,False,
lamf-test-398c2e41-0ba6-4e76-8602-21bfa67e2257,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 22536.432, None)]}",308.43937206382503,142299.6824396114,22536.432,14430.026475464501,22536.432,38628.92,True,32.63556566399999
lamf-test-58d64335-ff0b-41b5-93cb-bcafe6abca1b,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 22566.432, 23386.968), (2, 23386.968, None), (3, 27346.968, None)]}",83.27713277836911,45715.976986612455,22566.432,14431.026475464501,22566.432,29097.43,True,8.759145345599999
lamf-test-78749043-3668-43d0-99ce-4ee040f7f664,"{<resource_manager.instance.CloudOnDemandInstance object at 0x11406bb60>: [(2, 22596.432, None)]}",57.07835905715178,28553.87537670842,22596.432,14433.9780885545,22996.968,28409.624204078653,True,19.783455708920467
lamf-test-59fd6bbc-b1e0-4afd-a720-743bb563c136,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 23026.968, None), (2, 31698.576, None)]}",321.20760313523465,142114.16463756136,23026.968,14435.256399555501,23026.968,36173.202,True,14.294041631999994
lamf-test-4cc1e286-0e7f-464c-8240-c10883a7da2a,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 23086.968, 27556.968), (2, 27556.968, None), (0, 34998.576, None)]}",316.2330750787407,142026.81109804765,23086.968,14436.256399555501,23086.968,45417.172999999995,True,21.740326295999996
lamf-test-0aaede3d-34d4-43d5-b971-8a2a954407b0,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 23296.968, None), (-1, 25786.968, None), (1, 40659.648, None), (0, 51579.648, None), (2, 59030.184, None)]}",291.4038438976179,141966.6049226632,23296.968,14438.587307527501,23296.968,61026.75199999999,True,26.193657734399988
lamf-test-a7598ecc-5cec-4bf9-9a0f-c71ca0dbae0e,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 23386.968, 25876.968), (1, 25876.968, None)]}",294.2224632206372,142167.85531763724,23386.968,14442.3861199455,23386.968,36295.50199999999,True,10.285421390399996
lamf-test-5c0e0bc7-fda1-478e-8de8-178b5b80a83c,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 23416.968, 24556.968), (2, 24556.968, None), (0, 26956.968, None), (1, 32178.576, None)]}",109.02475346006189,45700.9255285133,23416.968,14450.7030693735,23416.968,32668.392,True,8.628192518399999
lamf-test-95c3a7f0-6def-4a58-8473-af92a11ec586,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 23446.968, 32928.576), (-1, 28928.04, 32928.576), (1, 32928.576, None), (3, 47799.648, None), (1, 53769.648, None), (-2, 59240.184, None)]}",312.05091942501133,142432.22616129296,23446.968,14453.930185381,23446.968,63217.588,True,41.5659902112
lamf-test-225e7631-1dba-46ce-9a30-f911bc78acd8,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 23476.968, None), (-3, 24736.968, None), (2, 26026.968, None)]}",48.6051907309817,28855.738396323894,23476.968,14457.3467265555,23476.968,26385.593000000004,True,4.183561200000005
lamf-test-19917d27-b721-40ad-a37a-4370c7a734bc,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 23656.968, None)]}",301.1069329229973,141819.66590625918,23656.968,14458.3467265555,23656.968,43208.219,True,15.859974811199997
