,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-29b14cf4-c2e0-462e-a5b2-16a34ab23f1f,"{<resource_manager.instance.CloudOnDemandInstance object at 0x128c8d6d0>: [(2, 11772.608000000031, None)]}",89.42960233211319,41901.956357188465,11772.608000000031,10821.5460557845,12173.144000000031,41917.35635718846,False,
lamf-test-0ee3ab93-6383-46f5-aeca-265dafdbd84c,"{<resource_manager.instance.CloudReservedInstance object at 0x128c8d310>: [(3, 12204.344000000036, None)], <resource_manager.instance.CloudReservedInstance object at 0x128c8d090>: [(2, 12204.344000000036, None)]}",39.66592451958817,24953.91784039974,12204.344000000036,10825.0131779185,12204.344000000036,17145.691636879783,True,8.953721918026103
lamf-test-3484ce7d-9fee-4f95-9c2d-f871cc58413f,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(3, 12234.344000000036, None)]}",280.48808000057255,138563.96846999862,12234.344000000036,10834.265025860499,12234.344000000036,30768.27700000004,True,22.55208967440001
lamf-test-0ab21652-7e84-40ef-afc1-d04cb7c18425,"{<resource_manager.instance.CloudReservedInstance object at 0x128c8d090>: [(1, 12264.544000000036, None)], <resource_manager.instance.CloudOnDemandInstance object at 0x128c8d6d0>: [(1, 12264.544000000036, None)]}",99.9394489602227,42126.81037027901,12264.544000000036,10858.1440521145,12264.544000000036,28920.07519186738,True,18.7208170596589
lamf-test-107c896d-ee0f-4ca2-89f1-19c67b8002a2,"{<resource_manager.instance.CloudOnDemandInstance object at 0x128c8d6d0>: [(2, 12294.544000000036, None)]}",98.1671155759394,42640.30081304173,12294.544000000036,11412.6715312945,12695.080000000036,29475.037604205918,True,24.7673995798232
lamf-test-34f82a8b-288c-437f-910d-553d4a2c7dfc,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 12725.680000000038, None)]}",332.1651620956545,139211.79000354552,12725.680000000038,11417.4139937635,12725.680000000038,19714.40600000004,True,5.6692545312
lamf-test-aa879c60-c521-40a2-972a-cf0714098824,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 12755.88000000004, None)]}",56.99333448866139,25635.788171498418,12755.88000000004,11418.4139937635,12755.88000000004,19610.00800000004,True,5.560068633600002
lamf-test-cfb32c98-2421-4b31-9da7-090b5212bb9a,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(6, 12785.88000000004, None)]}",311.65623815536327,138941.65224923685,12785.88000000004,11431.686979983499,12785.88000000004,33673.15800000004,True,50.8312797408
lamf-test-2e0bd3ff-93cb-46df-ab43-ee2f13d4c7e1,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(3, 12815.88000000004, None)]}",316.2487464140096,139137.50076710948,12815.88000000004,11434.224733083498,12815.88000000004,22255.651000000038,True,11.4863133528
lamf-test-75f66efa-1a77-47ea-a0c6-c0317f11e7c2,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(5, 12845.88000000004, None)]}",323.850834844211,139508.85150552765,12845.88000000004,11453.519271456498,12845.88000000004,20552.515000000036,True,15.629055779999993
